ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, ACC_X 2, ACC_Y 2, ACC_Z 2, Time[ms]
0.000000, 0.000000, 0.000000, -0.367687, 0.768578, -0.541520, -0.733421, 0.630878, -0.345714,  --- 23.024508
0.000000, 0.000000, 0.000000, -0.379406, 0.773949, -0.540544, -0.730002, 0.621601, -0.327158,  --- 24.024754
0.000000, 0.000000, 0.000000, -0.379406, 0.773949, -0.540544, -0.730002, 0.621601, -0.327158,  --- 25.024988
0.000000, 0.000000, 0.000000, -0.373546, 0.781762, -0.536637, -0.730491, 0.618671, -0.332041,  --- 26.025291
0.000000, 0.000000, 0.000000, -0.373546, 0.781762, -0.536637, -0.730491, 0.618671, -0.332041,  --- 27.025509
0.000000, 0.000000, 0.000000, -0.381359, 0.785668, -0.530778, -0.728538, 0.622577, -0.340831,  --- 28.025747
0.000000, 0.000000, 0.000000, -0.381359, 0.785668, -0.530778, -0.728538, 0.622577, -0.340831,  --- 29.026052
0.000000, 0.000000, 0.000000, -0.368663, 0.785180, -0.522965, -0.730491, 0.623554, -0.345714,  --- 30.050070
0.000000, 0.000000, 0.000000, -0.368663, 0.785180, -0.522965, -0.730491, 0.623554, -0.345714,  --- 31.050589
0.000000, 0.000000, 0.000000, -0.374523, 0.774437, -0.532243, -0.731467, 0.616718, -0.329600,  --- 32.050842
0.000000, 0.000000, 0.000000, -0.374523, 0.774437, -0.532243, -0.731467, 0.616718, -0.329600,  --- 33.051075
0.000000, 0.000000, 0.000000, -0.375500, 0.783227, -0.541032, -0.722190, 0.625995, -0.336436,  --- 34.051365
0.000000, 0.000000, 0.000000, -0.375500, 0.783227, -0.541032, -0.722190, 0.625995, -0.336436,  --- 35.054077
0.000000, 0.000000, 0.000000, -0.377453, 0.776879, -0.549333, -0.734397, 0.616230, -0.342784,  --- 36.054466
0.000000, 0.000000, 0.000000, -0.377453, 0.776879, -0.549333, -0.734397, 0.616230, -0.342784,  --- 37.054665
0.000000, 0.000000, 0.000000, -0.384289, 0.773461, -0.544938, -0.723166, 0.620624, -0.353038,  --- 38.054893
0.000000, 0.000000, 0.000000, -0.384289, 0.773461, -0.544938, -0.723166, 0.620624, -0.353038,  --- 39.055111
0.000000, 0.000000, 0.000000, -0.377941, 0.771508, -0.547380, -0.734885, 0.614276, -0.345714,  --- 40.055378
0.000000, 0.000000, 0.000000, -0.377941, 0.771508, -0.547380, -0.734885, 0.614276, -0.345714,  --- 41.055565
0.000000, 0.000000, 0.000000, -0.372570, 0.754906, -0.536637, -0.728049, 0.618671, -0.337413,  --- 42.055820
0.000000, 0.000000, 0.000000, -0.372570, 0.754906, -0.536637, -0.728049, 0.618671, -0.337413,  --- 43.055996
0.000000, 0.000000, 0.000000, -0.378429, 0.765648, -0.540055, -0.737815, 0.624042, -0.346202,  --- 44.056190
0.000000, 0.000000, 0.000000, -0.378429, 0.765648, -0.540055, -0.737815, 0.624042, -0.346202,  --- 45.056473
0.000000, 0.000000, 0.000000, -0.375011, 0.774437, -0.550310, -0.738304, 0.619159, -0.342295,  --- 46.056805
0.000000, 0.000000, 0.000000, -0.375011, 0.774437, -0.550310, -0.738304, 0.619159, -0.342295,  --- 47.057091
